²ÜÈ»Ïè	95	81.4	176.4
²Ü²©±ª	20	83.9	103.9
²ÜÇ¿È»	60	94.5	154.5
²ÜÖÐ´ï	60	67.9	127.9
²ÜÃ÷É½	61	88.1	149.1
²ÜµÂöÎ	72	77.9	149.9
²ÜÖÐÓÒ	75	65.9	140.9
²ÜÖÐ´ä	72.5	73.5	146.0
²ÜÊçÐÄ	64	78.1	142.1
²Ü²©±¤	60	81.4	141.4
²Ü²©±£	20	88.3	108.3
²ÜÏÉÊç	64.5	80.5	145.0
²ÜÐìÃ÷	62.5	76.7	139.2
²ÜîÚÔó	60	75.0	135.0
²ÜÑÅÃÉ	22.5	72.3	94.8
²ÜÐìÃÏ	62.5	76.7	139.2
²Ü±£¾ý	24	70.9	94.9
²Ü±£¾ü	22.5	76.6	99.1
²Ü²©±ø	20	75.9	95.9
²Ü×Ïê¿	70	83.0	153.0
²ÜÐìÃú	88	74.1	162.1
²ÜÍòêØ	26	90.7	116.7
²Ü²©±¾	22.5	72.2	94.7
²ÜÖ¾·½	21	86.8	107.8
²ÜÊüÍ®	72.5	80.9	153.4
²Ü»ªéÅ	22.5	79.9	102.4
²Ü³¿Óê	60	83.0	143.0
²Ü°®Ü¿	60	92.7	152.7
²ÜÅó²©	21	75.5	96.5
²Ü³¿Óð	97.5	79.8	177.3
²ÜÞÄ²©	20	87.2	107.2
²Ü±ÌÝÒ	22.5	79.9	102.4
²Ü²©éª	24	86.5	110.5
²Ü³¿Óþ	95	89.7	184.7
²Ü¼ÒÓñ	24	79.4	103.4
²Ü¾§¾§	60	81.4	141.4
²Ü³¿ÓÐ	97.5	79.8	177.3
²Ü½¨¾Ù	24	79.8	103.8
²ÜÔÆÃñ	22.5	72.2	94.7
²Ü²©é­	22.5	82.1	104.6
²Ü¼ÒÓÂ	60	76.1	136.1
²ÜÇàËÉ	65	81.8	146.8
²Üª	95	75.9	170.9
²ÜÊ±È»	88	82.2	170.2
²Üº£Ï¼	22.5	79.9	102.4
²ÜÁøº­	20	87.2	107.2
²Ü½«º­	20	94.5	114.5
²Üá°ÐÂ	99	86.5	185.5
²Ü°²ç÷	62	81.5	143.5
²ÜÊõÀû	22.5	80.9	103.4
²Ü²©Åó	20	69.5	89.5
²Ü×æ³É	90.5	75.8	166.3
²Üº×È»	60	87.1	147.1
²Ü¼ÒÓ¨	24	80.0	104.0
